Customer_ID,Order_Date,Region,Category,Order_Value,Discount_Pct,Delivery_Days,Recency_Days,Frequency,Churn,Customer_Rating
C00318,2024-01-19,West,Electronics,138.9,6.99,3,38,2,0,4
C00574,2024-01-20,East,Home,71.79,5.53,4,96,1,0,4
C00661,2024-01-20,North,Sports,52.56,14.23,5,45,5,0,4
C00306,2024-01-21,East,Fashion,56.49,4.87,3,46,3,0,4
C00557,2024-01-21,West,Beauty,55.19,16.09,4,180,3,1,3
C00225,2024-01-22,West,Sports,72.85,16.03,3,58,11,0,4
C00270,2024-01-22,North,Beauty,74.6,2.3,4,151,6,0,3
C00505,2024-01-22,North,Beauty,54.15,7.15,2,16,7,0,5
C00356,2024-01-22,North,Sports,87.49,4.34,6,117,3,1,3
C00655,2024-01-23,South,Fashion,84.82,10.06,4,75,3,0,3
C00389,2024-01-23,South,Fashion,69.62,8.44,4,154,6,0,3
C00433,2024-01-23,East,Beauty,75.54,13.21,5,52,4,0,4
C00683,2024-01-23,South,Fashion,102.56,8.5,5,59,6,0,3
C00621,2024-01-23,North,Electronics,218.18,5.79,4,27,5,0,4
C00413,2024-01-23,South,Home,82.12,1.01,6,25,7,0,4
C00232,2024-01-24,East,Home,135.56,0.0,3,80,5,0,3
C00195,2024-01-24,South,Home,80.28,6.46,4,111,3,0,4
C00433,2024-01-25,South,Home,97.47,8.87,5,98,4,1,4
C00477,2024-01-26,West,Electronics,129.71,6.45,3,53,7,0,3
C00135,2024-01-26,North,Sports,44.52,22.8,5,47,6,1,2
C00462,2024-01-26,West,Beauty,25.99,0.0,3,47,6,0,4
C00572,2024-01-27,North,Fashion,81.14,6.67,3,98,9,1,4
C00243,2024-01-27,North,Electronics,157.14,9.88,4,15,5,0,4
C00456,2024-01-27,East,Beauty,44.8,10.93,4,125,7,0,3
C00572,2024-01-27,South,Home,77.15,17.56,4,43,4,0,2
C00416,2024-01-27,West,Home,104.42,19.26,6,97,3,0,3
C00072,2024-01-28,North,Home,88.26,5.89,2,80,3,0,4
C00111,2024-01-28,North,Beauty,45.31,12.09,3,23,3,0,4
C00130,2024-01-28,South,Home,68.85,11.83,7,68,5,0,5
C00475,2024-01-29,South,Fashion,113.99,13.01,5,36,4,1,4
C00290,2024-01-29,East,Beauty,47.11,10.08,4,65,4,1,4
C00020,2024-01-29,East,Home,188.28,1.62,4,23,5,1,4
C00334,2024-01-29,West,Home,63.05,1.8,5,51,2,0,4
C00590,2024-01-29,North,Beauty,53.35,11.36,3,102,6,0,4
C00487,2024-01-30,West,Sports,149.36,0.0,5,22,2,0,4
C00197,2024-01-30,South,Beauty,33.81,0.82,5,37,2,0,3
C00137,2024-01-30,West,Sports,83.01,16.68,1,53,6,0,3
C00105,2024-01-30,South,Fashion,44.64,8.41,5,38,3,0,4
C00084,2024-01-30,West,Sports,66.57,13.74,2,27,12,0,4
C00439,2024-01-30,South,Beauty,42.63,10.56,4,54,2,0,4
C00595,2024-01-30,South,Beauty,44.49,7.91,5,46,9,0,3
C00289,2024-01-31,South,Electronics,182.7,10.52,7,11,5,1,3
C00536,2024-01-31,North,Electronics,135.39,13.69,5,78,3,1,2
C00056,2024-01-31,West,Electronics,102.09,11.86,6,14,6,0,4
C00049,2024-01-31,West,Electronics,127.74,9.15,4,33,7,0,5
C00099,2024-01-31,West,Fashion,88.88,5.28,3,47,1,0,4
C00123,2024-01-31,East,Electronics,207.59,19.54,6,53,5,0,2
C00674,2024-02-01,South,Fashion,109.28,0.17,5,45,8,0,3
C00469,2024-02-02,West,Home,63.13,10.38,4,112,4,0,3
C00370,2024-02-02,South,Electronics,113.61,16.88,3,134,7,1,3
C00077,2024-02-02,East,Home,61.73,8.68,2,55,2,0,4
C00326,2024-02-02,North,Fashion,47.27,8.49,4,125,5,1,4
C00654,2024-02-03,East,Beauty,51.85,14.9,4,149,4,0,3
C00241,2024-02-03,West,Fashion,55.26,13.21,4,34,7,0,4
C00647,2024-02-04,South,Fashion,114.73,8.37,6,88,6,1,3
C00391,2024-02-04,North,Sports,86.88,9.28,7,120,4,1,4
C00126,2024-02-04,South,Fashion,70.81,25.88,3,31,5,0,3
C00199,2024-02-05,East,Electronics,104.54,20.92,4,133,5,0,4
C00190,2024-02-05,East,Beauty,38.31,0.0,5,64,1,0,3
C00247,2024-02-05,North,Electronics,140.01,7.4,2,95,5,0,4
C00393,2024-02-05,South,Electronics,133.38,12.65,3,77,9,0,4
C00221,2024-02-06,South,Sports,50.35,19.14,4,84,6,1,3
C00523,2024-02-06,South,Fashion,63.88,4.46,5,76,1,0,4
C00301,2024-02-06,North,Electronics,140.63,4.85,4,97,4,0,3
C00384,2024-02-06,North,Home,55.06,11.73,1,77,3,0,4
C00330,2024-02-07,East,Electronics,329.92,0.0,3,52,5,0,4
C00533,2024-02-07,East,Electronics,236.11,7.27,4,49,8,0,4
C00452,2024-02-08,North,Sports,93.63,6.59,4,38,1,1,3
C00676,2024-02-08,South,Sports,97.49,13.26,3,101,3,0,4
C00421,2024-02-08,North,Fashion,91.89,10.46,5,55,6,0,4
C00457,2024-02-08,West,Electronics,154.15,2.24,1,52,7,0,5
C00480,2024-02-08,East,Home,74.03,27.48,5,35,4,0,3
C00693,2024-02-08,West,Electronics,166.07,12.93,8,78,8,1,3
C00348,2024-02-09,South,Home,75.56,8.16,4,112,3,0,3
C00467,2024-02-09,North,Electronics,132.48,7.88,4,81,9,0,3
C00435,2024-02-09,North,Electronics,151.94,10.08,4,18,2,1,3
C00559,2024-02-10,West,Fashion,78.82,1.83,4,14,5,0,3
C00691,2024-02-10,East,Electronics,177.66,2.91,4,67,5,0,3
C00195,2024-02-11,East,Sports,88.8,18.56,4,85,5,0,3
C00318,2024-02-11,West,Fashion,152.68,2.22,3,57,4,1,4
C00339,2024-02-12,West,Beauty,77.41,24.39,4,108,5,0,4
C00237,2024-02-12,West,Fashion,115.77,13.71,3,23,3,0,3
C00122,2024-02-13,North,Electronics,92.28,12.7,5,19,4,0,3
C00599,2024-02-13,West,Electronics,240.34,10.0,2,132,4,0,3
C00275,2024-02-13,South,Home,83.73,1.82,2,99,5,0,4
C00507,2024-02-13,North,Home,93.74,12.94,3,86,2,0,3
C00263,2024-02-15,North,Home,129.43,15.85,6,67,4,1,2
C00009,2024-02-15,East,Beauty,42.33,2.51,4,52,6,0,3
C00250,2024-02-15,South,Sports,197.61,0.0,3,38,9,0,4
C00671,2024-02-16,North,Electronics,96.19,9.29,1,129,10,0,5
C00298,2024-02-16,West,Electronics,119.31,11.4,4,152,4,0,5
C00065,2024-02-16,North,Sports,91.53,1.02,3,75,1,0,3
C00176,2024-02-17,East,Electronics,127.67,25.39,5,67,4,0,4
C00647,2024-02-17,West,Home,81.88,14.06,6,62,2,1,3
C00477,2024-02-17,East,Electronics,90.09,15.24,5,102,4,0,3
C00639,2024-02-18,North,Beauty,66.79,7.42,4,19,9,0,4
C00658,2024-02-18,North,Sports,98.09,34.39,4,108,5,0,5
C00137,2024-02-19,East,Electronics,185.4,0.0,2,46,3,0,4
C00196,2024-02-19,South,Electronics,113.55,15.73,6,92,4,0,3
C00047,2024-02-19,West,Electronics,198.09,0.0,6,180,3,0,4
C00462,2024-02-19,North,Home,58.46,13.93,3,29,7,0,4
C00227,2024-02-20,West,Sports,44.86,15.86,3,47,4,0,5
C00172,2024-02-20,West,Beauty,41.47,15.0,4,25,8,0,4
C00387,2024-02-21,South,Beauty,87.11,5.14,3,124,5,0,4
C00660,2024-02-21,South,Electronics,159.78,13.97,1,84,7,0,5
C00049,2024-02-21,West,Sports,65.42,6.23,4,160,4,1,4
C00361,2024-02-21,East,Electronics,227.73,15.32,4,144,6,0,3
C00222,2024-02-21,East,Electronics,133.21,13.31,4,81,8,1,3
C00066,2024-02-21,West,Fashion,53.63,9.27,5,94,3,0,4
C00543,2024-02-21,North,Beauty,47.12,12.48,3,18,4,0,4
C00041,2024-02-21,West,Fashion,63.04,8.12,1,59,3,1,4
C00091,2024-02-22,South,Electronics,233.94,7.64,5,115,4,0,4
C00199,2024-02-22,North,Fashion,80.86,17.82,3,25,4,1,3
C00234,2024-02-22,West,Home,77.8,15.01,3,33,3,1,3
C00193,2024-02-23,West,Electronics,62.77,11.78,4,76,6,0,4
C00278,2024-02-23,East,Fashion,44.51,3.43,4,55,3,1,4
C00056,2024-02-23,West,Electronics,129.41,15.25,3,132,4,1,3
C00565,2024-02-23,North,Electronics,139.13,14.12,4,90,5,1,3
C00075,2024-02-23,East,Home,74.53,12.93,5,114,6,0,4
C00127,2024-02-23,North,Home,82.85,11.51,6,73,9,0,4
C00274,2024-02-23,South,Beauty,48.51,20.94,8,54,7,0,3
C00303,2024-02-24,North,Beauty,79.84,17.51,3,101,4,0,4
C00003,2024-02-24,East,Electronics,66.6,19.26,4,26,8,0,3
C00536,2024-02-24,West,Fashion,59.66,20.08,4,40,7,0,4
C00157,2024-02-25,South,Fashion,71.77,11.97,3,84,8,1,4
C00203,2024-02-25,North,Home,149.86,9.01,3,91,6,0,3
C00648,2024-02-26,West,Fashion,121.41,8.77,7,42,12,0,3
C00520,2024-02-26,North,Sports,52.66,18.44,3,77,6,1,4
C00283,2024-02-26,West,Beauty,76.04,11.49,5,50,4,0,5
C00394,2024-02-26,East,Electronics,86.12,8.59,3,62,6,0,3
C00580,2024-02-26,East,Home,36.1,12.7,5,96,7,0,3
C00485,2024-02-27,East,Electronics,80.23,21.02,6,56,6,1,3
C00517,2024-02-27,West,Sports,69.74,23.23,4,37,9,0,4
C00595,2024-02-27,South,Sports,42.64,18.7,3,88,5,0,4
C00345,2024-02-27,North,Fashion,69.1,6.97,2,71,4,0,5
C00571,2024-02-28,North,Fashion,34.93,9.92,6,14,4,0,4
C00658,2024-02-28,South,Sports,80.16,11.86,2,24,4,0,3
C00691,2024-02-29,West,Beauty,56.8,7.74,6,85,5,0,2
C00056,2024-02-29,North,Home,163.44,10.72,1,70,6,0,5
C00108,2024-02-29,East,Home,60.47,5.12,4,103,5,0,4
C00155,2024-03-01,South,Electronics,128.61,6.59,2,33,4,0,4
C00039,2024-03-01,East,Fashion,51.12,4.68,6,85,6,1,3
C00237,2024-03-01,North,Sports,51.81,14.81,1,36,5,0,3
C00266,2024-03-02,North,Fashion,73.37,11.31,2,66,8,0,3
C00672,2024-03-02,South,Fashion,113.33,12.27,3,25,5,0,4
C00554,2024-03-02,North,Home,76.89,33.88,6,96,8,1,2
C00274,2024-03-02,East,Home,131.94,12.99,3,44,6,0,4
C00649,2024-03-03,South,Home,68.54,12.53,4,15,3,0,3
C00595,2024-03-03,West,Beauty,83.55,6.08,3,64,6,1,4
C00655,2024-03-04,North,Home,49.86,3.53,4,46,7,0,4
C00657,2024-03-04,West,Electronics,66.26,17.59,4,84,5,0,4
C00681,2024-03-04,North,Electronics,113.94,22.35,3,61,5,0,3
C00276,2024-03-04,West,Beauty,43.27,15.2,4,64,5,0,3
C00568,2024-03-05,West,Electronics,90.29,21.14,5,146,5,0,3
C00448,2024-03-06,South,Electronics,148.61,12.69,5,68,4,0,3
C00212,2024-03-07,South,Electronics,176.0,10.35,4,150,5,0,3
C00678,2024-03-07,South,Beauty,49.59,18.36,4,49,6,0,4
C00123,2024-03-08,West,Sports,75.44,7.3,5,24,5,0,4
C00503,2024-03-08,North,Beauty,77.25,18.52,3,22,7,0,4
C00453,2024-03-08,West,Sports,82.55,14.79,1,5,5,0,4
C00586,2024-03-09,North,Home,71.08,6.05,4,91,6,0,3
C00328,2024-03-09,South,Home,83.98,10.17,4,155,4,1,3
C00378,2024-03-12,North,Home,91.26,5.94,3,30,8,0,4
C00306,2024-03-13,West,Electronics,67.94,10.85,5,45,5,0,4
C00283,2024-03-13,South,Home,75.92,11.28,5,82,6,1,3
C00366,2024-03-13,North,Home,197.93,13.31,5,63,5,0,4
C00439,2024-03-13,West,Electronics,158.92,17.12,4,119,13,0,3
C00579,2024-03-14,West,Sports,95.78,3.26,6,66,6,0,3
C00093,2024-03-14,East,Home,105.2,17.96,4,55,8,0,3
C00156,2024-03-15,West,Home,86.26,4.71,2,22,4,0,4
C00074,2024-03-15,South,Home,66.11,10.48,6,40,6,0,2
C00668,2024-03-15,West,Electronics,142.6,13.76,2,66,2,1,3
C00076,2024-03-15,East,Electronics,354.89,0.0,6,73,3,1,3
C00613,2024-03-15,South,Home,134.15,20.99,5,143,7,0,3
C00309,2024-03-16,East,Fashion,55.11,19.23,5,45,9,0,4
C00238,2024-03-16,South,Electronics,78.91,8.97,5,38,3,0,4
C00138,2024-03-16,North,Electronics,240.49,17.34,5,23,3,0,4
C00226,2024-03-17,North,Fashion,73.0,2.2,3,55,4,1,4
C00433,2024-03-17,East,Fashion,72.58,24.38,5,27,7,0,5
C00122,2024-03-18,East,Fashion,57.52,17.75,6,123,7,0,3
C00115,2024-03-18,West,Beauty,60.29,8.95,4,24,8,0,3
C00104,2024-03-18,East,Fashion,71.4,18.98,4,15,5,0,3
C00475,2024-03-18,South,Beauty,47.66,16.1,4,58,6,0,4
C00563,2024-03-18,North,Electronics,132.43,14.56,2,124,4,1,4
C00192,2024-03-18,West,Fashion,74.86,21.78,4,73,4,0,3
C00177,2024-03-19,West,Electronics,237.03,4.93,2,86,7,0,4
C00327,2024-03-19,East,Sports,83.86,0.0,3,55,6,0,4
C00381,2024-03-19,South,Fashion,74.92,1.89,2,48,7,0,4
C00210,2024-03-19,South,Electronics,235.74,0.0,3,60,5,1,3
C00356,2024-03-20,South,Sports,102.68,2.35,4,17,4,0,4
C00052,2024-03-20,East,Fashion,89.62,6.89,2,46,3,0,4
C00576,2024-03-20,South,Fashion,61.53,4.77,4,9,3,0,4
C00598,2024-03-21,East,Home,92.14,20.19,4,42,2,0,4
C00463,2024-03-21,South,Beauty,96.02,12.02,4,33,5,0,4
C00504,2024-03-21,West,Home,118.23,5.5,2,26,5,0,5
C00454,2024-03-21,North,Sports,66.16,8.57,3,83,7,0,4
C00150,2024-03-21,East,Beauty,72.5,5.54,3,82,6,0,4
C00200,2024-03-22,West,Home,93.3,7.22,5,35,3,0,3
C00552,2024-03-22,South,Home,44.9,17.53,6,23,8,0,3
C00259,2024-03-22,West,Electronics,92.15,9.0,5,23,6,0,4
C00061,2024-03-22,West,Fashion,52.02,9.9,4,30,3,0,3
C00415,2024-03-23,East,Sports,92.53,4.97,4,89,5,0,4
C00275,2024-03-23,North,Fashion,62.52,11.71,3,56,4,0,4
C00238,2024-03-24,South,Electronics,101.61,11.11,5,117,5,0,4
C00587,2024-03-24,North,Home,104.28,12.35,4,106,10,0,5
C00487,2024-03-25,North,Fashion,52.98,8.98,6,89,10,0,4
C00030,2024-03-26,North,Electronics,239.91,27.94,3,35,3,0,4
C00228,2024-03-26,South,Electronics,198.93,9.61,3,31,5,0,4
C00665,2024-03-26,East,Fashion,41.49,0.01,4,128,8,0,4
C00520,2024-03-27,West,Home,60.27,15.07,5,33,6,0,3
C00582,2024-03-27,East,Electronics,208.43,13.48,3,54,7,0,2
C00443,2024-03-27,East,Sports,54.22,22.83,6,89,8,0,4
C00233,2024-03-27,East,Home,85.67,15.33,6,76,2,1,2
C00125,2024-03-28,East,Electronics,252.93,9.05,5,152,6,1,3
C00234,2024-03-28,North,Electronics,198.19,9.16,4,79,3,0,3
C00149,2024-03-29,East,Home,77.25,15.95,4,37,5,0,4
C00292,2024-03-29,East,Fashion,60.17,4.3,3,161,6,0,4
C00134,2024-03-30,North,Electronics,128.26,0.0,5,180,4,1,4
C00417,2024-03-30,North,Fashion,103.35,19.73,5,109,4,0,4
C00546,2024-03-30,West,Electronics,147.93,9.57,3,5,4,0,3
C00101,2024-03-30,North,Home,68.55,14.57,4,60,5,0,3
C00334,2024-03-30,South,Home,79.16,19.88,3,66,5,0,3
C00109,2024-03-31,South,Electronics,161.06,12.84,5,21,5,0,5
C00049,2024-03-31,South,Electronics,148.3,14.44,3,79,9,0,4
C00057,2024-03-31,East,Fashion,68.27,25.32,3,30,7,0,3
C00278,2024-03-31,North,Electronics,102.56,9.85,4,107,9,0,3
C00137,2024-03-31,East,Home,56.78,6.23,3,55,6,0,3
C00636,2024-03-31,East,Beauty,96.1,8.91,3,66,7,0,3
C00463,2024-03-31,West,Electronics,133.37,11.14,6,80,6,0,3
C00280,2024-03-31,West,Electronics,117.83,16.63,4,30,7,0,5
C00606,2024-04-01,South,Beauty,52.53,5.07,3,70,4,0,4
C00287,2024-04-01,North,Home,75.9,18.26,4,88,4,1,3
C00347,2024-04-01,West,Fashion,54.03,26.78,3,33,10,1,3
C00642,2024-04-01,East,Sports,63.08,19.4,5,38,4,0,4
C00155,2024-04-01,South,Fashion,71.21,18.97,5,72,6,0,3
C00367,2024-04-02,North,Electronics,85.58,3.94,4,54,8,1,3
C00604,2024-04-02,North,Beauty,36.6,5.25,4,66,6,0,3
C00234,2024-04-03,North,Fashion,49.49,21.66,5,61,7,1,3
C00119,2024-04-03,South,Sports,57.39,20.45,4,66,6,0,4
C00261,2024-04-03,North,Beauty,45.19,6.29,6,34,5,0,3
C00415,2024-04-03,West,Fashion,51.22,12.01,4,64,5,0,3
C00146,2024-04-03,South,Fashion,53.66,6.93,4,87,3,1,4
C00613,2024-04-03,North,Home,61.02,3.82,3,33,6,0,5
C00675,2024-04-03,West,Fashion,97.61,7.35,3,85,8,0,4
C00214,2024-04-03,North,Beauty,48.18,13.41,3,43,4,0,5
C00162,2024-04-04,West,Sports,59.61,10.31,5,40,1,0,4
C00541,2024-04-04,East,Fashion,104.22,3.09,6,46,7,0,3
C00010,2024-04-04,North,Sports,135.28,16.44,2,111,7,1,3
C00147,2024-04-05,West,Beauty,54.7,1.66,7,56,6,0,3
C00376,2024-04-05,North,Fashion,81.4,24.88,3,33,6,0,3
C00027,2024-04-05,West,Home,41.19,7.81,3,89,6,0,4
C00615,2024-04-06,West,Fashion,67.53,12.44,5,69,7,0,4
C00316,2024-04-06,East,Beauty,56.36,13.28,1,81,4,0,3
C00061,2024-04-07,North,Home,76.36,11.61,2,85,7,0,4
C00694,2024-04-07,North,Sports,109.83,10.29,3,68,6,0,5
C00099,2024-04-08,East,Home,168.5,6.74,5,53,7,0,3
C00096,2024-04-08,North,Home,99.7,15.79,4,77,5,0,4
C00666,2024-04-09,East,Fashion,61.72,17.55,3,44,6,0,4
C00486,2024-04-09,South,Electronics,122.05,5.7,1,27,6,0,4
C00109,2024-04-10,South,Electronics,179.05,0.0,3,41,8,0,3
C00162,2024-04-10,South,Beauty,47.53,4.19,3,25,6,0,3
C00039,2024-04-10,North,Fashion,65.39,6.87,3,68,2,0,3
C00256,2024-04-10,West,Beauty,38.91,13.77,5,54,10,0,3
C00609,2024-04-10,East,Beauty,74.04,5.6,3,36,3,0,4
C00686,2024-04-11,South,Beauty,42.92,4.36,4,92,6,0,3
C00227,2024-04-12,South,Sports,130.6,13.19,4,53,10,0,3
C00064,2024-04-13,North,Fashion,58.56,23.1,2,48,7,0,4
C00540,2024-04-13,East,Fashion,73.49,6.44,5,77,3,0,3
C00091,2024-04-13,East,Electronics,114.45,14.65,4,12,5,0,4
C00217,2024-04-13,South,Electronics,170.53,17.37,5,33,4,0,2
C00489,2024-04-14,South,Fashion,62.0,16.64,4,135,2,0,4
C00534,2024-04-14,East,Fashion,86.75,6.42,7,41,7,1,3
C00329,2024-04-14,South,Fashion,56.16,19.24,5,55,5,0,4
C00371,2024-04-14,North,Beauty,77.49,0.0,5,73,4,1,3
C00044,2024-04-15,East,Fashion,51.94,4.04,5,69,7,0,4
C00167,2024-04-15,North,Electronics,103.71,19.27,4,17,2,0,4
C00515,2024-04-16,West,Fashion,108.12,3.07,4,94,4,0,4
C00666,2024-04-16,East,Fashion,70.41,18.0,5,57,5,0,3
C00021,2024-04-16,North,Beauty,65.48,8.16,2,114,5,0,5
C00028,2024-04-17,West,Beauty,38.51,12.16,5,47,7,0,4
C00190,2024-04-17,East,Fashion,88.42,1.74,2,16,4,0,4
C00653,2024-04-17,West,Electronics,212.48,9.92,4,126,6,0,4
C00285,2024-04-17,North,Electronics,232.16,15.52,4,80,6,0,3
C00003,2024-04-18,South,Electronics,395.11,12.19,3,46,3,0,3
C00677,2024-04-18,East,Home,65.05,9.64,3,21,8,0,4
C00075,2024-04-19,East,Electronics,58.52,2.06,4,110,5,1,4
C00416,2024-04-19,South,Fashion,63.49,18.37,5,53,2,0,4
C00230,2024-04-19,North,Fashion,74.55,14.22,3,50,6,0,4
C00228,2024-04-20,East,Beauty,60.4,13.62,5,13,3,0,3
C00084,2024-04-20,East,Electronics,125.34,17.28,4,65,4,0,5
C00501,2024-04-20,South,Electronics,241.44,16.11,4,52,4,1,3
C00098,2024-04-20,North,Electronics,165.9,8.75,2,119,6,0,4
C00524,2024-04-20,West,Home,52.82,19.4,4,35,9,1,3
C00328,2024-04-21,North,Sports,71.3,10.62,5,54,6,1,3
C00152,2024-04-21,North,Sports,39.65,12.84,3,59,6,0,4
C00604,2024-04-21,East,Fashion,88.25,11.15,4,75,6,0,4
C00652,2024-04-21,South,Sports,60.91,12.98,6,45,8,0,4
C00067,2024-04-22,West,Sports,135.46,10.75,7,58,5,0,4
C00040,2024-04-22,North,Fashion,56.56,18.69,5,77,6,1,2
C00235,2024-04-22,East,Home,69.21,26.25,5,49,4,0,4
C00172,2024-04-22,East,Fashion,49.95,16.82,1,66,6,0,4
C00468,2024-04-23,West,Fashion,69.8,23.24,3,157,5,0,3
C00071,2024-04-23,East,Electronics,119.41,2.0,4,18,4,0,4
C00651,2024-04-23,East,Electronics,209.45,4.79,2,112,5,0,5
C00495,2024-04-24,West,Home,78.14,19.25,4,21,4,0,4
C00601,2024-04-24,East,Home,87.53,8.22,3,130,3,0,4
C00205,2024-04-24,East,Beauty,55.54,13.32,4,9,7,0,3
C00603,2024-04-25,West,Sports,109.58,15.26,3,161,4,1,3
C00453,2024-04-25,East,Home,72.09,15.52,2,108,7,1,3
C00608,2024-04-26,East,Fashion,107.18,16.66,3,76,8,0,3
C00531,2024-04-26,West,Sports,64.47,29.87,3,51,8,0,4
C00291,2024-04-26,East,Fashion,85.55,9.2,3,10,4,0,4
C00406,2024-04-27,East,Fashion,45.39,7.2,4,81,5,0,5
C00217,2024-04-27,East,Electronics,120.31,17.74,5,71,4,0,3
C00205,2024-04-27,East,Home,100.2,12.21,3,53,4,0,4
C00097,2024-04-27,East,Sports,75.76,12.2,3,73,5,0,4
C00199,2024-04-27,West,Beauty,46.16,9.61,4,64,7,0,3
C00428,2024-04-27,West,Fashion,57.55,7.84,5,99,3,0,4
C00496,2024-04-28,East,Fashion,59.64,17.48,4,45,6,0,3
C00313,2024-04-28,South,Sports,60.41,19.0,5,35,1,0,3
C00426,2024-04-28,East,Fashion,62.03,5.56,3,33,5,1,4
C00459,2024-04-29,South,Home,98.36,13.13,3,99,11,0,5
C00219,2024-04-29,North,Home,140.69,0.0,4,110,6,1,2
C00083,2024-04-29,East,Fashion,48.33,8.63,7,36,6,0,4
