Customer_ID,Recency,Frequency,Monetary,Cluster
C00152,223,3,170.69,0
C00153,27,3,291.09999999999997,0
C00154,179,3,252.49,0
C00155,1,6,522.89,2
C00156,32,8,641.73,2
C00157,676,1,71.77,1
C00158,33,3,318.15999999999997,0
C00159,20,3,250.18,0
C00160,498,2,350.23,1
C00161,259,1,69.16,1
C00162,347,4,328.15,0
C00163,33,2,245.66,0
C00164,164,4,333.99,0
C00165,178,3,366.56,0
C00166,10,4,304.29,0
C00167,49,5,452.93999999999994,2
C00168,43,2,124.95,0
C00169,144,5,474.9,2
C00170,7,6,464.13,2
C00171,189,2,141.3,0
C00172,126,7,436.97,2
C00173,66,4,334.78,0
C00174,193,3,336.27,0
C00175,201,7,479.72,2
C00176,492,3,539.96,1
C00177,328,2,274.16,1
C00178,12,6,492.18,2
C00179,8,7,477.03,2
C00180,231,3,371.31,0
C00181,72,6,656.22,2
C00182,305,1,156.78,1
C00183,367,1,104.83,1
C00184,166,2,147.88,0
C00185,98,6,435.06,2
C00186,6,3,256.75,0
C00187,436,1,85.31,1
C00188,36,4,389.28000000000003,0
C00189,273,1,180.73,1
C00190,280,4,432.79,0
C00191,42,3,464.51,0
C00192,6,9,744.22,2
C00193,154,5,507.71999999999997,2
C00194,396,2,186.29000000000002,1
C00195,50,9,733.35,2
C00196,230,3,232.57999999999998,0
C00197,6,5,364.12,0
C00198,15,4,319.67,0
C00199,97,9,588.63,2
C00200,60,3,237.14,0
C00201,8,4,362.48,0
C00202,73,2,116.71000000000001,0
C00203,676,1,149.86,1
C00204,49,4,323.39,0
C00205,31,5,321.18,0
C00206,1,6,635.56,2
C00207,64,4,399.53,0
C00208,3,4,488.51,0
C00209,37,6,403.58,2
C00210,186,5,549.68,2
C00211,300,3,517.38,0
C00212,92,4,416.01,0
C00213,231,2,115.97999999999999,1
C00214,195,3,248.85000000000002,0
C00215,245,3,339.86,0
C00216,490,1,54.41,1
C00217,315,7,824.24,2
C00218,77,6,549.01,2
C00219,323,3,319.59000000000003,1
C00220,24,4,258.23,0
C00221,80,8,522.53,2
C00222,301,3,456.84000000000003,0
C00223,100,5,452.62,2
C00224,232,2,293.03,0
C00225,235,5,380.18,0
C00226,241,7,556.04,2
C00227,54,6,676.18,2
C00228,15,4,445.74,0
C00229,152,3,323.65000000000003,0
C00230,84,4,501.27,0
C00231,255,5,412.47,0
C00232,104,8,792.1,2
C00233,35,4,373.72,0
C00234,638,3,325.48,1
C00235,225,4,403.25,0
C00236,182,5,535.72,2
C00237,671,2,167.57999999999998,1
C00238,74,5,489.79,2
C00239,400,6,566.32,2
C00240,235,4,300.53999999999996,0
C00241,47,3,274.27,0
C00242,280,3,359.55,0
C00243,88,5,555.8,2
C00244,466,1,58.62,1
C00245,85,2,118.18,0
C00246,169,4,332.61,0
C00247,236,4,373.19,0
C00248,447,2,112.73,1
C00249,493,4,282.23,1
C00250,134,6,857.12,2
C00252,187,2,164.05,0
C00255,361,1,153.95,1
C00256,107,4,199.29,0
C00257,211,4,227.13,0
C00258,283,1,76.61,1
C00259,172,3,203.86,0
C00260,90,4,383.44,0
C00261,19,5,337.08,0
C00262,22,4,219.73,0
C00263,166,2,265.0,0
C00264,51,2,248.2,0
C00265,17,3,235.15,0
C00266,59,5,338.56,0
C00267,405,3,271.35,1
C00268,160,1,93.89,0
C00269,549,1,198.77,1
C00270,710,1,74.6,1
C00271,413,4,317.69,1
C00272,131,2,182.25,0
C00273,175,5,559.71,2
C00274,77,6,549.64,2
C00275,94,5,382.46,0
C00276,2,3,408.64,0
C00277,597,1,99.05,1
C00278,166,5,338.29,0
C00279,177,3,248.11,0
C00280,603,2,211.47,1
C00281,318,4,337.93,0
C00282,214,3,274.99,0
C00283,151,4,408.61,0
C00284,402,1,185.5,1
C00285,131,3,357.71,0
C00286,128,2,210.55,0
C00287,48,3,244.67000000000002,0
C00288,717,1,185.44,1
C00289,325,3,359.19,0
C00290,167,4,367.23,0
C00291,90,3,213.09,0
C00292,25,5,596.04,2
C00293,160,3,412.37,0
C00294,18,3,150.29,0
C00295,99,2,441.1,0
C00296,1,4,225.32,0
C00297,146,5,395.14,0
C00298,31,7,681.16,2
C00299,350,1,69.52,1
C00300,155,4,367.11,0
C00301,269,3,345.27,0
C00302,58,5,462.44,2
C00303,485,3,260.61,1
C00304,91,3,599.52,0
C00305,61,5,292.52,0
C00306,125,4,281.61,0
C00307,58,4,416.33000000000004,0
C00308,220,9,690.52,2
C00309,62,8,989.48,2
C00310,148,3,216.87,0
C00311,188,2,211.11,0
C00312,174,2,96.53,0
C00313,51,6,486.94,2
C00314,256,6,563.1800000000001,2
C00315,358,3,146.54,1
C00316,151,7,491.13,2
C00317,96,1,96.54,0
C00318,584,4,573.45,1
C00319,589,1,57.32,1
C00320,265,1,63.21,1
C00322,317,2,209.01,1
C00323,406,2,201.63,1
C00325,58,4,334.46000000000004,0
C00326,33,3,202.32,0
C00327,74,5,554.99,2
C00328,25,5,341.8,0
C00329,24,6,723.09,2
C00330,266,6,749.04,2
C00331,142,3,372.45,0
C00332,62,4,357.84000000000003,0
C00333,45,8,658.5,2
C00334,284,4,373.28999999999996,0
C00335,92,3,311.13,0
C00336,201,1,102.66,1
C00337,174,5,516.63,2
C00338,70,3,183.44,0
C00339,22,9,941.0899999999999,2
C00340,252,3,154.84,0
C00341,238,4,564.05,2
C00342,414,2,112.75999999999999,1
C00343,263,3,279.22,0
C00344,110,3,335.38,0
C00345,124,4,404.28999999999996,0
C00346,590,1,62.26,1
C00347,220,3,297.22,0
C00348,428,3,272.0,1
C00349,77,6,570.07,2
C00350,155,3,183.71,0
C00351,73,3,202.47,0
C00352,483,1,172.52,1
C00353,234,3,238.9,0
C00354,263,2,255.59,1
C00355,133,9,694.46,2
C00356,325,3,274.45,1
C00358,7,5,439.25,2
C00359,210,5,354.3,0
C00360,121,2,254.09999999999997,0
C00361,288,5,517.6,2
C00362,87,5,289.83,0
C00363,154,4,349.41,0
C00364,133,4,394.51,0
C00365,86,3,419.15,0
C00366,601,3,389.98,1
C00367,9,4,370.22,0
C00368,234,5,517.39,2
C00369,383,1,113.83,1
C00370,53,7,591.0,2
C00371,148,4,318.9,0
C00372,69,4,404.37,0
C00373,105,1,42.18,0
C00374,103,3,200.86,0
C00375,1,2,201.5,0
C00376,198,4,347.99,0
C00377,182,4,351.71,0
C00378,57,6,502.27,2
C00379,85,5,385.49,0
C00380,12,3,542.32,0
C00381,294,6,540.01,2
C00382,169,4,461.29999999999995,0
C00383,358,4,362.76,0
C00384,85,6,473.82,2
C00385,97,4,386.15000000000003,0
C00386,92,2,312.74,0
C00387,284,3,266.05,0
C00388,90,3,297.79,0
C00389,453,4,344.33,1
C00390,470,2,179.11,1
C00391,43,2,222.85,0
C00392,251,3,251.22000000000003,0
C00393,105,3,308.43,0
C00394,30,7,734.0699999999999,2
C00395,110,8,784.99,2
C00396,1,6,510.40000000000003,2
C00397,140,4,315.61,0
C00398,125,4,358.3,0
C00399,150,3,449.46999999999997,0
C00400,101,3,284.31,0
C00401,377,2,137.29000000000002,1
C00402,18,5,417.51,2
C00403,66,3,159.38,0
C00404,72,2,193.93,0
C00405,167,4,351.71,0
C00406,8,6,391.14,2
C00407,435,1,164.57,1
C00408,149,2,296.58,0
C00410,238,1,86.55,1
C00411,265,3,414.3,0
C00412,11,3,271.69,0
C00413,103,8,715.45,2
C00414,23,2,86.36,0
C00415,184,4,388.2,0
C00416,622,3,217.64,1
C00417,80,7,686.16,2
C00418,199,4,467.98,0
C00419,186,3,374.21000000000004,0
C00420,291,2,108.47,1
C00421,544,2,200.57999999999998,1
C00422,101,5,469.52,2
C00423,128,4,395.09,0
C00424,111,2,169.28,0
C00425,13,3,391.68,0
C00426,200,6,621.52,2
C00427,117,4,258.34000000000003,0
C00428,190,8,679.19,2
C00429,245,6,658.25,2
C00430,18,2,155.93,0
C00431,270,3,275.36,0
C00432,16,3,171.4,0
C00433,66,7,783.97,2
C00434,199,3,273.49,0
C00435,36,6,668.6,2
C00436,184,3,333.75,0
C00437,413,2,156.97000000000003,1
C00438,29,3,398.72,0
C00439,147,4,388.66999999999996,0
C00440,244,3,410.28999999999996,0
C00441,330,2,132.57,1
C00442,45,2,149.99,0
C00443,122,2,111.47,0
C00444,456,1,65.36,1
C00445,63,4,413.68,0
C00447,73,2,244.07,0
C00448,173,3,314.5,0
C00449,11,4,305.26,0
C00450,166,5,487.44,2
C00452,25,5,585.28,2
C00453,268,4,243.69,0
C00454,2,7,472.98,2
C00455,77,7,580.52,2
C00456,137,3,254.31,0
C00457,309,5,361.88,0
C00458,1,3,262.95,0
C00459,107,3,241.76,0
C00460,16,7,448.48,2
C00461,2,5,500.15,2
C00462,181,4,322.74,0
C00463,147,5,478.93999999999994,2
C00464,292,2,165.29999999999998,1
C00465,72,4,351.57,0
C00466,168,2,284.73,0
C00467,20,4,482.09,0
C00468,352,3,198.14,1
C00469,283,3,265.19,0
C00470,554,1,115.47,1
C00471,17,7,445.2,2
C00472,244,5,272.08,0
C00473,515,3,181.60999999999999,1
C00474,181,4,312.14,0
C00475,299,4,271.78,0
C00476,44,3,265.49,0
C00477,2,7,772.57,2
C00478,430,1,64.89,1
C00479,284,2,106.28999999999999,1
C00480,15,3,269.59000000000003,0
C00481,245,5,661.12,2
C00482,559,2,203.75,1
C00483,76,3,207.87,0
C00484,54,2,272.1,0
C00485,17,5,430.9,2
C00486,40,2,230.31,0
C00487,28,5,465.21000000000004,2
C00488,355,1,121.07,1
C00489,52,5,302.28000000000003,0
C00490,65,5,480.01,2
C00491,428,1,76.96,1
C00492,296,1,69.5,1
C00493,195,3,208.54,0
C00494,25,6,515.79,2
C00495,303,4,657.0799999999999,2
C00496,363,2,170.13,1
C00497,110,4,417.35,0
C00498,249,5,442.83,2
C00499,63,6,453.09999999999997,2
C00500,7,3,269.88,0
C00501,396,2,315.03,1
C00502,325,7,752.98,2
C00503,56,8,924.73,2
C00504,548,3,312.05,1
C00505,116,3,189.2,0
C00506,60,2,226.67,0
C00507,12,3,416.5,0
C00508,593,1,73.97,1
C00509,126,2,187.9,0
C00510,116,5,562.9000000000001,2
C00511,429,4,375.15999999999997,1
C00512,410,2,113.97999999999999,1
C00513,107,4,188.23000000000002,0
C00514,209,3,307.54,0
C00515,600,2,174.9,1
C00517,178,5,385.07,0
C00518,199,1,109.91,1
C00519,4,2,112.03999999999999,0
C00520,74,6,569.49,2
C00521,389,3,344.26,1
C00522,6,8,740.74,2
C00523,133,2,112.95,0
C00524,165,4,259.9,0
C00525,140,2,142.47,0
C00526,43,5,425.08,2
C00527,343,1,79.37,1
C00528,20,4,418.15999999999997,0
C00529,532,2,321.56,1
C00530,15,4,269.18,0
C00531,13,6,492.4,2
C00532,70,3,223.09,0
C00533,62,5,554.24,2
C00534,116,7,569.47,2
C00535,3,2,170.38,0
C00536,213,3,267.91999999999996,0
C00537,298,1,45.01,1
C00538,85,2,156.26999999999998,0
C00539,370,2,118.65,1
C00540,628,1,73.49,1
C00541,23,2,211.05,0
C00542,87,4,367.23,0
C00543,152,2,162.29,0
C00544,142,3,263.85,0
C00545,85,3,196.26999999999998,0
C00546,642,1,147.93,1
C00547,385,1,52.7,1
C00548,460,3,427.08000000000004,1
C00549,593,1,43.02,1
C00550,414,1,161.79,1
C00551,23,5,444.03,2
C00552,217,3,123.83,0
C00553,442,5,437.18,1
C00554,159,7,404.1,2
C00555,58,4,284.64,0
C00556,186,4,390.56,0
C00557,46,4,377.21,0
C00558,59,2,253.48,0
C00559,3,7,773.72,2
C00560,37,4,469.77,0
C00561,127,4,337.92,0
C00562,89,5,603.79,2
C00563,89,4,285.98,0
C00564,373,3,227.37,1
C00565,2,4,363.35,0
C00566,253,2,135.78,1
C00567,8,4,464.71000000000004,0
C00568,307,4,325.76,0
C00569,15,8,695.43,2
C00570,342,3,282.08,1
C00571,146,3,219.85,0
C00572,153,8,696.56,2
C00573,1,2,203.89,0
C00574,94,6,476.38,2
C00575,287,2,111.37,1
C00576,92,7,468.3,2
C00578,397,2,298.6,1
C00579,144,4,341.05,0
C00580,675,2,87.33,1
C00581,96,4,458.96000000000004,0
C00582,105,2,255.43,0
C00583,725,1,38.77,1
C00584,105,2,94.05,0
C00585,145,2,133.91,0
C00586,96,3,252.45999999999998,0
C00587,336,5,644.09,2
C00588,542,1,47.99,1
C00589,72,5,457.4,2
C00590,258,2,134.42,1
C00591,167,3,166.16,0
C00592,250,1,116.85,1
C00593,90,4,359.69,0
C00594,559,1,41.39,1
C00595,45,5,278.98,0
C00596,226,4,366.38,0
C00597,99,6,451.95000000000005,2
C00598,651,1,92.14,1
C00599,18,4,642.22,2
C00600,162,3,316.68,0
C00601,484,2,154.26,1
C00602,105,2,261.25,0
C00603,30,3,233.9,0
C00604,620,3,186.86,1
C00605,204,4,320.36,0
C00606,119,4,386.14,0
C00607,184,5,381.83,0
C00608,157,6,739.02,2
C00609,584,2,123.58000000000001,1
C00610,386,1,66.33,1
C00611,8,4,376.25,0
C00612,512,1,86.99,1
C00613,5,4,318.16,0
C00614,181,3,491.77,0
C00615,427,5,456.81,2
C00616,69,6,333.58000000000004,2
C00617,285,4,364.03999999999996,0
C00618,19,9,845.44,2
C00619,8,4,355.07,0
C00620,569,1,81.07,1
C00621,387,3,448.3,1
C00622,122,3,256.65,0
C00623,83,6,586.09,2
C00624,111,4,309.59000000000003,0
C00625,237,2,338.31,0
C00627,191,3,226.81,0
C00629,348,3,329.23,1
C00630,237,1,100.29,1
C00631,59,3,217.48000000000002,0
C00632,103,4,367.87,0
C00633,265,2,219.66,1
C00634,197,3,276.74,0
C00635,329,2,112.07,1
C00636,70,3,241.2,0
C00637,48,3,221.53,0
C00638,81,2,324.38,0
C00639,2,2,134.25,0
C00640,87,7,662.21,2
C00641,466,5,521.0799999999999,2
C00642,92,5,401.17,0
C00643,89,1,137.51,0
C00644,3,4,348.53999999999996,0
C00645,514,1,110.05,1
C00646,20,4,268.44,0
C00647,165,4,284.72,0
C00648,243,6,526.89,2
C00649,4,4,537.64,2
C00650,14,5,386.12,0
C00651,542,3,441.44,1
C00652,233,3,196.97,0
C00653,289,7,922.46,2
C00654,8,2,86.1,0
C00655,78,6,523.96,2
C00656,66,4,220.99,0
C00657,82,6,527.69,2
C00658,59,4,409.09000000000003,0
C00659,106,1,70.7,0
C00660,269,2,205.31,1
C00661,209,3,246.21,0
C00662,227,3,317.85,0
C00663,52,3,223.88,0
C00664,156,2,118.38,0
C00665,327,3,255.52,1
C00666,625,2,132.13,1
C00667,174,2,234.33,0
C00668,5,7,860.99,2
C00670,399,2,172.47,1
C00671,604,2,143.22,1
C00672,4,6,746.2,2
C00673,77,2,224.39,0
C00674,273,4,260.99,0
C00675,142,4,334.2,0
C00676,108,4,387.12,0
C00677,421,3,207.07,1
C00678,68,4,377.27,0
C00679,303,3,408.26,0
C00680,361,3,234.39999999999998,1
C00681,668,1,113.94,1
C00682,385,2,132.23000000000002,1
C00683,92,6,535.28,2
C00685,99,1,54.34,0
C00686,255,3,198.19,0
C00687,216,4,372.45,0
C00688,460,1,81.36,1
C00690,10,4,455.07,0
C00691,90,6,551.67,2
C00692,58,2,214.06,0
C00693,693,1,166.07,1
C00694,14,11,1029.65,2
C00695,84,4,538.51,2
C00697,490,1,88.41,1
C00698,319,3,225.22,1
C00699,131,4,388.9,0
C00700,28,5,385.15,0
